Fatigued/Drowsy	Other Vehicular				167
Other Vehicular	Prescription Medication				166
Other Vehicular	Backing Unsafely				160
Pavement Defective					160
Driver Inattention/Distraction	Driver Inexperience				158
Turning Improperly					158
Oversized Vehicle					157
Backing Unsafely	Fatigued/Drowsy				157
Other Electronic Device	Other Electronic Device				157
Fatigued/Drowsy	Driver Inattention/Distraction				154
Driver Inattention/Distraction	Lost Consciousness				152
Driver Inattention/Distraction	Backing Unsafely				152
Turning Improperly	Other Vehicular				149
Turning Improperly	Unspecified	Unspecified			144
Turning Improperly	Driver Inattention/Distraction				141
Prescription Medication					139
Passenger Distraction	Unspecified				138
Driver Inexperience	Unspecified	Unspecified			127
Pavement Slippery	Unspecified	Unspecified			125
Physical Disability	Unspecified	Unspecified			124
Driver Inattention/Distraction	Prescription Medication				123
Traffic Control Disregarded	Failure to Yield Right-of-Way				122
Obstruction/Debris	Unspecified				121
Fatigued/Drowsy	Unspecified	Unspecified	Unspecified		121
Failure to Yield Right-of-Way	Traffic Control Disregarded				120
Turning Improperly	Fatigued/Drowsy				119
Fatigued/Drowsy					109
Lost Consciousness	Other Vehicular				108
Backing Unsafely	Other Vehicular				106
Lost Consciousness	Driver Inattention/Distraction				105
Lost Consciousness	Unspecified	Unspecified			105
View Obstructed/Limited	View Obstructed/Limited				100
Steering Failure	Unspecified				100
Other Vehicular	Unspecified	Unspecified			99
Driver Inattention/Distraction	Driver Inattention/Distraction	Driver Inattention/Distraction			97
Outside Car Distraction	Unspecified	Unspecified			95
Failure to Keep Right					93
Fatigued/Drowsy	Outside Car Distraction				92
Fatigued/Drowsy	Turning Improperly				91
Failure to Yield Right-of-Way	Other Vehicular				90
Fell Asleep	Unspecified				89
Oversized Vehicle	Oversized Vehicle				88
Fatigued/Drowsy	Backing Unsafely				88
Prescription Medication	Unspecified	Unspecified			87
Backing Unsafely	Unspecified	Unspecified			86
Traffic Control Disregarded	Unspecified	Unspecified	Unspecified		83
Tire Failure/Inadequate	Unspecified				82
View Obstructed/Limited					81
Alcohol Involvement	Unspecified	Unspecified	Unspecified		80
Lost Consciousness	Turning Improperly				76
Driver Inexperience	Driver Inattention/Distraction				76
Pavement Defective	Unspecified				75
Turning Improperly	Failure to Yield Right-of-Way				73
Brakes Defective	Unspecified	Unspecified			70
Brakes Defective					69
Lost Consciousness	Fatigued/Drowsy				69
Passenger Distraction					68
Aggressive Driving/Road Rage	Aggressive Driving/Road Rage				67
Prescription Medication	Other Vehicular				66
Other Electronic Device					65
Lost Consciousness	Failure to Yield Right-of-Way				64
Failure to Yield Right-of-Way	Turning Improperly				64
Prescription Medication	Driver Inattention/Distraction				62
Alcohol Involvement	Alcohol Involvement				61
Traffic Control Disregarded	Turning Improperly				60
Driver Inattention/Distraction	Physical Disability				60
Steering Failure					59
Failure to Keep Right	Unspecified	Unspecified			59
Prescription Medication	Lost Consciousness				58
Prescription Medication	Fatigued/Drowsy				58
Physical Disability					57
Other Vehicular	Other Vehicular	Unspecified			56
Other Vehicular	Physical Disability				56
Outside Car Distraction	Driver Inattention/Distraction				56
Failure to Yield Right-of-Way	Lost Consciousness				56
Traffic Control Disregarded	Driver Inattention/Distraction				56
Tire Failure/Inadequate					55
Lost Consciousness	Prescription Medication				55
Other Vehicular	Driver Inexperience				55
Illness	Illness				54
Aggressive Driving/Road Rage	Unspecified	Unspecified			54
Other Vehicular	Traffic Control Disregarded				54
Backing Unsafely	Lost Consciousness				53
Fatigued/Drowsy	Lost Consciousness				53
Unsafe Lane Changing	Unspecified				52
Driver Inattention/Distraction	Unspecified	Unspecified	Unspecified	Unspecified	52
Driver Inattention/Distraction	Outside Car Distraction				51
Driver Inattention/Distraction	Traffic Control Disregarded				51
Drugs (Illegal)	Unspecified				51
Fatigued/Drowsy	Fatigued/Drowsy	Fatigued/Drowsy			50
Lane Marking Improper/Inadequate	Lane Marking Improper/Inadequate				50
Traffic Control Disregarded	Prescription Medication				50
Following Too Closely	Unspecified				49
Fatigued/Drowsy	Driver Inattention/Distraction	Unspecified			48
Turning Improperly	Lost Consciousness				48
Physical Disability	Driver Inattention/Distraction				48
Turning Improperly	Traffic Control Disregarded				48
Driver Inattention/Distraction	Fatigued/Drowsy	Unspecified			47
Failure to Yield Right-of-Way	Fatigued/Drowsy				47
Outside Car Distraction	Other Vehicular				47
Prescription Medication	Failure to Yield Right-of-Way				46
Aggressive Driving/Road Rage					45
Animals Action					45
Failure to Yield Right-of-Way	Unspecified	Unspecified	Unspecified		45
Illness					45
Cell Phone (hands-free)	Unspecified				44
Oversized Vehicle	Driver Inattention/Distraction				44
Other Vehicular	Pavement Slippery				44
Fell Asleep					43
Prescription Medication	Traffic Control Disregarded				43
Glare					42
Obstruction/Debris	Obstruction/Debris				42
Glare	Glare				42
Fatigued/Drowsy	Driver Inexperience				42
Backing Unsafely	Failure to Yield Right-of-Way				41
Fatigued/Drowsy	Failure to Yield Right-of-Way				41
Pavement Slippery	Other Vehicular				41
Traffic Control Disregarded	Unspecified	Unspecified	Unspecified	Unspecified	40
Driver Inattention/Distraction	Driver Inattention/Distraction	Unspecified	Unspecified		40
Failure to Yield Right-of-Way	Prescription Medication				40
Lost Consciousness	Backing Unsafely				39
Driver Inexperience	Other Vehicular				39
Other Vehicular	Outside Car Distraction				39
Fatigued/Drowsy	Traffic Control Disregarded				39
Steering Failure	Unspecified	Unspecified			38
Passing or Lane Usage Improper	Unspecified				38
Oversized Vehicle	Lost Consciousness				38
Driver Inexperience	Fatigued/Drowsy				37
Driver Inattention/Distraction	Oversized Vehicle				36
Fatigued/Drowsy	Prescription Medication				36
Backing Unsafely	Driver Inexperience				35
Animals Action	Unspecified				35
Failure to Yield Right-of-Way	Backing Unsafely				35
Driver Inexperience	Failure to Yield Right-of-Way				35
Unsafe Speed					35
Traffic Control Device Improper/Non-Working	Traffic Control Device Improper/Non-Working				34
Reaction to Other Uninvolved Vehicle					34
Fatigued/Drowsy	Fatigued/Drowsy	Unspecified	Unspecified		33
Following Too Closely					33
Pavement Slippery	Pavement Slippery	Unspecified			33
Lost Consciousness	Oversized Vehicle				33
Passenger Distraction	Fatigued/Drowsy				32
Other Vehicular	Oversized Vehicle				32
Lane Marking Improper/Inadequate	Unspecified				32
Accelerator Defective	Unspecified				32
Oversized Vehicle	Unspecified	Unspecified			31
Traffic Control Disregarded	Traffic Control Disregarded	Unspecified			30
Alcohol Involvement	Unspecified	Unspecified	Unspecified	Unspecified	30
Reaction to Other Uninvolved Vehicle	Reaction to Other Uninvolved Vehicle				30
Traffic Control Disregarded	Other Vehicular				30
Fatigued/Drowsy	Fatigued/Drowsy	Fatigued/Drowsy	Unspecified		29
Pavement Slippery	Pavement Slippery	Pavement Slippery			29
Alcohol Involvement	Driver Inattention/Distraction				29
Physical Disability	Failure to Yield Right-of-Way				29
Physical Disability	Traffic Control Disregarded				28
Traffic Control Disregarded	Physical Disability				28
Driver Inexperience	Lost Consciousness				28
Failure to Yield Right-of-Way	Driver Inexperience				27
Fatigued/Drowsy	Unspecified	Unspecified	Unspecified	Unspecified	27
Oversized Vehicle	Other Vehicular				27
Passenger Distraction	Passenger Distraction				27
Other Vehicular	Other Vehicular	Fatigued/Drowsy			27
Other Electronic Device	Unspecified	Unspecified			27
Oversized Vehicle	Failure to Yield Right-of-Way				26
Lost Consciousness	Traffic Control Disregarded				26
View Obstructed/Limited	Driver Inattention/Distraction				26
Failure to Yield Right-of-Way	Physical Disability				26
Traffic Control Disregarded	Fatigued/Drowsy				25
Pavement Slippery	Driver Inattention/Distraction				25
Prescription Medication	Turning Improperly				25
Failure to Yield Right-of-Way	Failure to Yield Right-of-Way	Unspecified			25
Unsafe Speed	Unspecified	Unspecified			24
Outside Car Distraction	Fatigued/Drowsy	Fatigued/Drowsy			24
Outside Car Distraction	Pavement Slippery				24
Pavement Slippery	Unspecified	Unspecified	Unspecified		24
Pedestrian/Bicyclist/Other Pedestrian Error/Confusion	Unspecified				24
Other Vehicular	Illness				24
Driver Inattention/Distraction	Pavement Slippery				24
Physical Disability	Other Vehicular				23
Driver Inattention/Distraction	Illness				23
Lost Consciousness	Lost Consciousness	Unspecified			23
Outside Car Distraction	Unspecified	Unspecified	Unspecified		23
Drugs (Illegal)					22
Backing Unsafely	Unspecified	Unspecified	Unspecified		22
Lost Consciousness	Unspecified	Unspecified	Unspecified		22
Other Vehicular	View Obstructed/Limited				22
Physical Disability	Unspecified	Unspecified	Unspecified		22
Other Electronic Device	Fatigued/Drowsy				21
Fatigued/Drowsy	Pavement Slippery				21
Outside Car Distraction	Fatigued/Drowsy	Unspecified			21
Backing Unsafely	Prescription Medication				21
Driver Inexperience	Unspecified	Unspecified	Unspecified		21
Fell Asleep	Unspecified	Unspecified			21
Oversized Vehicle	Turning Improperly				21
Pavement Slippery	Fatigued/Drowsy				20
Other Vehicular	Aggressive Driving/Road Rage				20
Fell Asleep	Fell Asleep				20
Traffic Control Disregarded	Lost Consciousness				20
Other Vehicular	Alcohol Involvement				20
Traffic Control Device Improper/Non-Working	Unspecified				20
Other Vehicular	Fatigued/Drowsy	Fatigued/Drowsy			20
Traffic Control Disregarded	Failure to Yield Right-of-Way	Unspecified			20
Brakes Defective	Brakes Defective				20
Prescription Medication	Backing Unsafely				20
Traffic Control Disregarded	Backing Unsafely				19
Illness	Driver Inattention/Distraction				19
Following Too Closely	Unspecified	Unspecified			19
Tire Failure/Inadequate	Unspecified	Unspecified			19
Driver Inattention/Distraction	Other Electronic Device				19
Cell Phone (hand-held)	Unspecified				18
Driver Inattention/Distraction	Aggressive Driving/Road Rage				18
Failure to Keep Right	Failure to Keep Right				18
View Obstructed/Limited	Failure to Yield Right-of-Way				18
Outside Car Distraction	Traffic Control Disregarded				18
Alcohol Involvement	Other Vehicular				18
Turning Improperly	Driver Inexperience				18
Fatigued/Drowsy	Traffic Control Disregarded	Unspecified			18
Fatigued/Drowsy	Oversized Vehicle				18
Oversized Vehicle	Fatigued/Drowsy				17
Driver Inexperience	Prescription Medication				17
Turning Improperly	Prescription Medication				17
Lost Consciousness	Driver Inexperience				17
Failure to Keep Right	Unspecified	Unspecified	Unspecified		17
Turning Improperly	Oversized Vehicle				17
Accelerator Defective					17
Passing or Lane Usage Improper					17
Fatigued/Drowsy	Other Vehicular	Other Vehicular			17
Physical Disability	Physical Disability	Unspecified			17
View Obstructed/Limited	Other Vehicular				17
View Obstructed/Limited	Fatigued/Drowsy				17
Outside Car Distraction	Lost Consciousness				16
Illness	Unspecified	Unspecified			16
Failure to Yield Right-of-Way	Pavement Slippery				16
Driver Inexperience	Turning Improperly				16
Other Vehicular	Unspecified	Unspecified	Unspecified		16
Driver Inexperience	Driver Inexperience	Unspecified			16
Driver Inexperience	Backing Unsafely				16
Driver Inattention/Distraction	View Obstructed/Limited				16
Driver Inattention/Distraction	Other Vehicular	Other Vehicular			16
Turning Improperly	Turning Improperly	Unspecified			16
Pavement Defective	Pavement Defective				16
Pavement Slippery	Failure to Yield Right-of-Way				16
Prescription Medication	Driver Inexperience				16
Brakes Defective	Unspecified	Unspecified	Unspecified		15
Other Vehicular	Fatigued/Drowsy	Unspecified			15
Illness	Fatigued/Drowsy				15
Driver Inattention/Distraction	Alcohol Involvement				15
Failure to Yield Right-of-Way	Oversized Vehicle				15
Driver Inattention/Distraction	Driver Inattention/Distraction	Driver Inattention/Distraction	Driver Inattention/Distraction		15
Other Vehicular	Unsafe Speed				15
Other Vehicular	Brakes Defective				15
Other Electronic Device	Driver Inattention/Distraction				15
Other Electronic Device	Other Vehicular				14
Physical Disability	Prescription Medication				14
Outside Car Distraction	Outside Car Distraction	Outside Car Distraction			14
Prescription Medication	Unspecified	Unspecified	Unspecified		14
Drugs (Illegal)	Unspecified	Unspecified			14
Illness	Other Vehicular				14
Other Vehicular	Other Vehicular	Other Vehicular	Other Vehicular		14
Failure to Yield Right-of-Way	Traffic Control Disregarded	Unspecified			14
Fatigued/Drowsy	Fatigued/Drowsy	Fatigued/Drowsy	Fatigued/Drowsy		14
Fatigued/Drowsy	Fatigued/Drowsy	Unspecified	Unspecified	Unspecified	13
Turning Improperly	Outside Car Distraction				13
Following Too Closely	Unspecified	Unspecified	Unspecified		13
Driver Inattention/Distraction	Driver Inexperience	Unspecified			13
View Obstructed/Limited	Unspecified	Unspecified			13
Fatigued/Drowsy	Fatigued/Drowsy	Fatigued/Drowsy	Fatigued/Drowsy	Unspecified	13
Reaction to Other Uninvolved Vehicle	Lost Consciousness				13
Fatigued/Drowsy	Failure to Yield Right-of-Way	Unspecified			12
Backing Unsafely	Traffic Control Disregarded				12
Driver Inattention/Distraction	Unsafe Speed				12
Physical Disability	Fatigued/Drowsy				12
Passenger Distraction	Driver Inattention/Distraction				12
Prescription Medication	Oversized Vehicle				12
Alcohol Involvement	Fatigued/Drowsy				12
Other Vehicular	Other Vehicular	Driver Inattention/Distraction			12
Turning Improperly	Unspecified	Unspecified	Unspecified		12
Outside Car Distraction	Outside Car Distraction	Unspecified			11
Aggressive Driving/Road Rage	Lost Consciousness				11
Outside Car Distraction	Failure to Yield Right-of-Way				11
Backing Unsafely	Turning Improperly				11
View Obstructed/Limited	Prescription Medication				11
Aggressive Driving/Road Rage	Unspecified	Unspecified	Unspecified		11
Failure to Yield Right-of-Way	View Obstructed/Limited				11
Driver Inattention/Distraction	Other Vehicular	Unspecified			11
Alcohol Involvement	Alcohol Involvement	Unspecified			11
Pavement Slippery	Pavement Slippery	Pavement Slippery	Pavement Slippery	Pavement Slippery	11
Aggressive Driving/Road Rage	Fatigued/Drowsy				11
Driver Inattention/Distraction	Driver Inattention/Distraction	Driver Inattention/Distraction	Unspecified		11
Driver Inexperience	Unspecified	Unspecified	Unspecified	Unspecified	10
Driver Inexperience	Driver Inexperience	Driver Inexperience			10
Traffic Control Disregarded	Traffic Control Disregarded	Traffic Control Disregarded			10
Reaction to Other Uninvolved Vehicle	Unspecified	Unspecified			10
Outside Car Distraction	Outside Car Distraction	Fatigued/Drowsy			10
Outside Car Distraction	Turning Improperly				10
Fatigued/Drowsy	Other Vehicular	Unspecified			10
Driver Inattention/Distraction	Traffic Control Disregarded	Unspecified			10
Driver Inattention/Distraction	Fatigued/Drowsy	Fatigued/Drowsy			10
Oversized Vehicle	Prescription Medication				10
Fatigued/Drowsy	Outside Car Distraction	Unspecified			10
Prescription Medication	Reaction to Other Uninvolved Vehicle				10
Traffic Control Disregarded	Other Vehicular	Other Vehicular			10
Passenger Distraction	Unspecified	Unspecified			10
Backing Unsafely	Physical Disability				10
Lost Consciousness	Reaction to Other Uninvolved Vehicle				10
Pavement Slippery	Pavement Slippery	Pavement Slippery	Unspecified		10
Glare	Unspecified	Unspecified			10
Pavement Slippery	Pavement Slippery	Unspecified	Unspecified		10
Illness	Unspecified	Unspecified	Unspecified		10
Aggressive Driving/Road Rage	Failure to Yield Right-of-Way				10
Turning Improperly	Backing Unsafely				10
Accelerator Defective	Unspecified	Unspecified			10
Other Vehicular	Other Electronic Device				10
Prescription Medication	Unspecified	Unspecified	Unspecified	Unspecified	9
Alcohol Involvement	Failure to Yield Right-of-Way				9
Physical Disability	Unspecified	Unspecified	Unspecified	Unspecified	9
Failure to Yield Right-of-Way	Aggressive Driving/Road Rage				9
Lost Consciousness	Outside Car Distraction				9
Fatigued/Drowsy	Other Electronic Device				9
Physical Disability	Backing Unsafely				9
Driver Inattention/Distraction	Turning Improperly	Unspecified			9
Pavement Slippery	Turning Improperly				9
Windshield Inadequate	Unspecified				9
Turning Improperly	Pavement Slippery				9
Aggressive Driving/Road Rage	Driver Inattention/Distraction				9
Turning Improperly	Illness				9
View Obstructed/Limited	Traffic Control Disregarded				9
Driver Inexperience	Traffic Control Disregarded				9
Failure to Yield Right-of-Way	Reaction to Other Uninvolved Vehicle				9
Tow Hitch Defective	Unspecified				9
Tire Failure/Inadequate	Unspecified	Unspecified	Unspecified		9
Traffic Control Disregarded	Fatigued/Drowsy	Unspecified			9
Failure to Yield Right-of-Way	Outside Car Distraction				9
Backing Unsafely	Backing Unsafely	Unspecified			9
Traffic Control Disregarded	Outside Car Distraction				9
Driver Inattention/Distraction	Failure to Keep Right				9
Turning Improperly	Fatigued/Drowsy	Unspecified			9
Glare	Other Vehicular				9
Lost Consciousness	Physical Disability				9
Obstruction/Debris	Fatigued/Drowsy				8
View Obstructed/Limited	Physical Disability				8
Unsafe Lane Changing	Unspecified	Unspecified			8
Turning Improperly	Aggressive Driving/Road Rage				8
Steering Failure	Steering Failure				8
Physical Disability	Driver Inexperience				8
Pavement Slippery	Traffic Control Disregarded				8
Pavement Slippery	Prescription Medication				8
Pavement Defective	Unspecified	Unspecified			8
Oversized Vehicle	Physical Disability				8
Oversized Vehicle	Backing Unsafely				8
Outside Car Distraction	Unspecified	Unspecified	Unspecified	Unspecified	8
Other Vehicular	Reaction to Other Uninvolved Vehicle				8
Other Electronic Device	Other Electronic Device	Other Electronic Device			8
Fatigued/Drowsy	View Obstructed/Limited				8
Fatigued/Drowsy	Driver Inexperience	Unspecified			8
Failure to Yield Right-of-Way	Alcohol Involvement				8
Driver Inattention/Distraction	Passenger Distraction				8
Driver Inattention/Distraction	Obstruction/Debris				8
Driver Inattention/Distraction	Driver Inattention/Distraction	Other Vehicular			8
Animals Action	Unspecified	Unspecified			8
Alcohol Involvement	Backing Unsafely				8
Aggressive Driving/Road Rage	Unspecified	Unspecified	Unspecified	Unspecified	8
Fell Asleep	Unspecified	Unspecified	Unspecified		7
Prescription Medication	Aggressive Driving/Road Rage				7
Alcohol Involvement	Alcohol Involvement	Alcohol Involvement			7
Lost Consciousness	Pavement Slippery				7
Oversized Vehicle	Unspecified	Unspecified	Unspecified		7
Aggressive Driving/Road Rage	Turning Improperly				7
Failure to Keep Right	Unspecified	Unspecified	Unspecified	Unspecified	7
Oversized Vehicle	Oversized Vehicle	Unspecified			7
Lost Consciousness	Unspecified	Unspecified	Unspecified	Unspecified	7
Traffic Control Disregarded	Pavement Slippery				7
Aggressive Driving/Road Rage	Other Vehicular				7
Other Vehicular	Unspecified	Unspecified	Unspecified	Unspecified	7
Physical Disability	Turning Improperly				7
Driver Inattention/Distraction	Driver Inattention/Distraction	Driver Inattention/Distraction	Driver Inattention/Distraction	Driver Inattention/Distraction	7
Brakes Defective	Other Vehicular				7
Prescription Medication	Pavement Slippery				7
Driver Inattention/Distraction	Driver Inattention/Distraction	Unspecified	Unspecified	Unspecified	7
Other Lighting Defects	Unspecified				7
Pavement Defective	Fatigued/Drowsy				7
Driver Inattention/Distraction	Reaction to Other Uninvolved Vehicle				7
Traffic Control Disregarded	Aggressive Driving/Road Rage				7
Headlights Defective	Unspecified				7
Driver Inattention/Distraction	Failure to Yield Right-of-Way	Unspecified			7
Physical Disability	Lost Consciousness				7
Illness	Lost Consciousness				7
Traffic Control Disregarded	Driver Inexperience				7
Traffic Control Disregarded	Driver Inattention/Distraction	Unspecified			7
Other Vehicular	Driver Inattention/Distraction	Unspecified			7
Driver Inattention/Distraction	Fatigued/Drowsy	Driver Inattention/Distraction			7
Driver Inexperience	Other Vehicular	Other Vehicular			7
Other Vehicular	Other Vehicular	Traffic Control Disregarded			7
Alcohol Involvement	Turning Improperly				7
Alcohol Involvement	Traffic Control Disregarded				7
Fatigued/Drowsy	Alcohol Involvement				7
Failure to Yield Right-of-Way	Unspecified	Unspecified	Unspecified	Unspecified	7
Other Vehicular	Passenger Distraction				7
Pavement Slippery	Pavement Slippery	Pavement Slippery	Pavement Slippery		7
Prescription Medication	Traffic Control Disregarded	Unspecified			7
Reaction to Other Uninvolved Vehicle	Driver Inattention/Distraction				7
Pavement Slippery	Outside Car Distraction				7
Outside Car Distraction	Driver Inexperience				7
Fell Asleep	Unspecified	Unspecified	Unspecified	Unspecified	6
Other Vehicular	Fatigued/Drowsy	Other Vehicular			6
Reaction to Other Uninvolved Vehicle	Other Vehicular				6
Other Electronic Device	Unspecified	Unspecified	Unspecified		6
Unsafe Speed	Other Vehicular				6
Outside Car Distraction	Driver Inattention/Distraction	Unspecified			6
Prescription Medication	Prescription Medication	Prescription Medication			6
Traffic Control Disregarded	Other Vehicular	Unspecified			6
Other Electronic Device	Outside Car Distraction				6
Prescription Medication	Physical Disability				6
Fell Asleep	Turning Improperly				6
Cell Phone (hands-free)					6
Fatigued/Drowsy	Fatigued/Drowsy	Outside Car Distraction			6
Lost Consciousness	Alcohol Involvement				6
Passenger Distraction	Other Vehicular				6
Backing Unsafely	Oversized Vehicle				6
Driver Inattention/Distraction	Glare				6
Fatigued/Drowsy	Fatigued/Drowsy	Other Vehicular			6
Traffic Control Device Improper/Non-Working					6
Physical Disability	Physical Disability	Unspecified	Unspecified		6
Prescription Medication	Prescription Medication	Unspecified			6
Traffic Control Disregarded	Alcohol Involvement				6
Fatigued/Drowsy	Fatigued/Drowsy	Fatigued/Drowsy	Fatigued/Drowsy	Fatigued/Drowsy	6
Failure to Keep Right	Failure to Keep Right	Unspecified			6
Driver Inattention/Distraction	Driver Inattention/Distraction	Fatigued/Drowsy			6
Traffic Control Disregarded	Failure to Yield Right-of-Way	Unspecified	Unspecified		6
Pavement Slippery	Unspecified	Unspecified	Unspecified	Unspecified	6
Accelerator Defective	Unspecified	Unspecified	Unspecified		6
Unsafe Speed	Unspecified	Unspecified	Unspecified		6
Other Vehicular	Traffic Control Device Improper/Non-Working				6
View Obstructed/Limited	Turning Improperly				6
Traffic Control Disregarded	Traffic Control Disregarded	Unspecified	Unspecified		6
Unsafe Lane Changing					6
Fatigued/Drowsy	Fatigued/Drowsy	Driver Inattention/Distraction	Unspecified		6
Fatigued/Drowsy	Backing Unsafely	Unspecified			6
Other Vehicular	Glare				5
Alcohol Involvement	Driver Inattention/Distraction	Unspecified			5
Fatigued/Drowsy	Reaction to Other Uninvolved Vehicle				5
Obstruction/Debris	Other Vehicular				5
Alcohol Involvement	Failure to Keep Right				5
Driver Inattention/Distraction	Backing Unsafely	Unspecified			5
Backing Unsafely	Pavement Slippery				5
Failure to Yield Right-of-Way	Failure to Keep Right				5
Driver Inexperience	Oversized Vehicle				5
Other Electronic Device	Other Electronic Device	Unspecified			5
Passing or Lane Usage Improper	Unspecified	Unspecified			5
Driver Inexperience	Pavement Slippery				5
Other Vehicular	Other Vehicular	Turning Improperly			5
Outside Car Distraction	Physical Disability				5
Fatigued/Drowsy	Brakes Defective				5
Fatigued/Drowsy	Physical Disability				5
Alcohol Involvement	Driver Inexperience				5
Driver Inexperience	Physical Disability				5
Pavement Slippery	Physical Disability				5
Driver Inattention/Distraction	Other Vehicular	Other Vehicular	Other Vehicular		5
Other Vehicular	Traffic Control Disregarded	Unspecified			5
Traffic Control Disregarded	View Obstructed/Limited				5
Lost Consciousness	Aggressive Driving/Road Rage				5
Pavement Slippery	Lost Consciousness				5
Traffic Control Disregarded	Turning Improperly	Unspecified			5
Reaction to Other Uninvolved Vehicle	Prescription Medication				5
Turning Improperly	Lane Marking Improper/Inadequate				5
Lost Consciousness	View Obstructed/Limited				5
Fatigued/Drowsy	Pavement Defective				5
Fatigued/Drowsy	Aggressive Driving/Road Rage				5
Prescription Medication	Other Vehicular	Other Vehicular			5
Obstruction/Debris	Unspecified	Unspecified			5
Obstruction/Debris	Driver Inattention/Distraction				5
Prescription Medication	View Obstructed/Limited				5
Driver Inattention/Distraction	Drugs (Illegal)				5
Fatigued/Drowsy	Illness				5
Backing Unsafely	Unspecified	Unspecified	Unspecified	Unspecified	5
Fatigued/Drowsy	Passenger Distraction				5
Failure to Yield Right-of-Way	Unsafe Speed				5
View Obstructed/Limited	Backing Unsafely				5
Outside Car Distraction	View Obstructed/Limited				5
Illness	Failure to Yield Right-of-Way				5
Glare	Failure to Yield Right-of-Way				5
Other Vehicular	Failure to Keep Right				5
Driver Inexperience	Driver Inattention/Distraction	Unspecified			5
Driver Inattention/Distraction	Brakes Defective				5
Lost Consciousness	Illness				5
Failure to Yield Right-of-Way	Failure to Yield Right-of-Way	Failure to Yield Right-of-Way			5
Following Too Closely	Driver Inattention/Distraction				4
Other Vehicular	Fell Asleep				4
Aggressive Driving/Road Rage	Aggressive Driving/Road Rage	Unspecified			4
Fatigued/Drowsy	Pavement Slippery	Unspecified			4
Failure to Yield Right-of-Way	Fatigued/Drowsy	Unspecified			4
Physical Disability	Oversized Vehicle				4
Pavement Slippery	Backing Unsafely				4
Physical Disability	Pavement Slippery				4
Following Too Closely	Following Too Closely	Unspecified			4
Traffic Control Disregarded	Backing Unsafely	Unspecified			4
Fatigued/Drowsy	Fell Asleep				4
Fatigued/Drowsy	Turning Improperly	Unspecified			4
Outside Car Distraction	Pavement Slippery	Pavement Slippery			4
Failure to Keep Right	Failure to Keep Right	Failure to Keep Right			4
Brakes Defective	Brakes Defective	Unspecified			4
